Title,Author,Status,Chapters,Volumes
One Piece,Eiichiro Oda,Ongoing,1100,106
Naruto,Masashi Kishimoto,Completed,700,72
Dragon Ball,Akira Toriyama,Completed,519,42
Attack on Titan,Hajime Isayama,Completed,139,34
Bleach,Tite Kubo,Completed,686,74
Death Note,Tsugumi Ohba,Completed,108,12
My Hero Academia,Kohei Horikoshi,Ongoing,402,38
Fullmetal Alchemist,Hiromu Arakawa,Completed,116,27
Tokyo Ghoul,Sui Ishida,Completed,179,14
One Punch Man,ONE,Ongoing,189,27
Hunter x Hunter,Yoshihiro Togashi,Hiatus,400,37
Demon Slayer,Koyoharu Gotouge,Completed,205,23
Berserk,Kentaro Miura,Ongoing,364,41
JoJo's Bizarre Adventure,Hirohiko Araki,Ongoing,952,131
Kingdom,Yasuhisa Hara,Ongoing,748,67
Haikyuu!!,Haruichi Furudate,Completed,402,45
The Promised Neverland,Kaiu Shirai,Completed,181,20
Vinland Saga,Makoto Yukimura,Ongoing,198,26
Vagabond,Takehiko Inoue,Hiatus,327,37
Slam Dunk,Takehiko Inoue,Completed,276,31
Black Clover,Yuki Tabata,Ongoing,364,34
Chainsaw Man,Tatsuki Fujimoto,Ongoing,141,14
Monster,Naoki Urasawa,Completed,162,18
Fairy Tail,Hiro Mashima,Completed,545,63
Gintama,Hideaki Sorachi,Completed,704,77
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Completed,96,14
Claymore,Norihiro Yagi,Completed,155,27
Blue Lock,Muneyuki Kaneshiro,Ongoing,222,23
Dr. Stone,Riichiro Inagaki,Completed,232,26
The Seven Deadly Sins,Nakaba Suzuki,Completed,346,41
Jujutsu Kaisen,Gege Akutami,Ongoing,238,23
Food Wars!: Shokugeki no Soma,Yuto Tsukuda,Completed,315,36
Sword Art Online,Reki Kawahara,Ongoing,104,26
Kaguya-sama: Love Is War,Aka Akasaka,Completed,281,28
Fruits Basket,Natsuki Takaya,Completed,136,23
Black Butler,Yana Toboso,Ongoing,193,33
Assassination Classroom,Yusei Matsui,Completed,180,21
Noragami,Adachitoka,Ongoing,102,26
Blue Exorcist,Kazue Kato,Ongoing,138,28
Gantz,Hiroya Oku,Completed,383,37
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Completed,369,37
Bakuman,Tsugumi Ohba,Completed,176,20
Yu Yu Hakusho,Yoshihiro Togashi,Completed,175,19
Rurouni Kenshin,Nobuhiro Watsuki,Completed,255,28
Inuyasha,Rumiko Takahashi,Completed,558,56
20th Century Boys,Naoki Urasawa,Completed,249,22
Nisekoi,Naoshi Komi,Completed,229,25
D.Gray-man,Katsura Hoshino,Ongoing,245,27
Komi Can't Communicate,Tomohito Oda,Ongoing,395,28
Eyeshield 21,Riichiro Inagaki,Completed,333,37
